ROI,FA_mean,MD_mean,RD_mean,AD_mean
Precentral_L,0.29344849178441407,0.0013135226644950134,0.0011599477849362117,0.0016206724236126166
Precentral_R,0.28202763811610243,0.0014026688991016618,0.0012491344288309443,0.0017097378396430968
Frontal_Sup_L,0.24934215011016223,0.0013502190141671134,0.0012119181717510333,0.0016268206989992736
Frontal_Sup_R,0.25640161371272474,0.0013587289054017584,0.0012160788385615763,0.0016440290390821231
Frontal_Sup_Orb_L,0.3593995348337609,0.0015923554552279941,0.0013562070068587567,0.0020646523519664696
Frontal_Sup_Orb_R,0.3550150452216133,0.0015623147853175967,0.0013289591283498292,0.0020290260992531315
Frontal_Mid_L,0.22823800702930555,0.001354246718989795,0.001228143183218904,0.0016064537905315774
Frontal_Mid_R,0.23017120100947613,0.0013526301487552868,0.0012238475664623813,0.0016101953133410979
Frontal_Mid_Orb_L,0.27743892036969325,0.0016343783718419393,0.0014212946927415866,0.0020605457300426457
Frontal_Mid_Orb_R,0.29102975349744215,0.0016099104058506163,0.0013850858770313227,0.002059559463489204
Frontal_Inf_Oper_L,0.21463433702291862,0.0016336664188586715,0.0014885319416762112,0.0019239353732235917
Frontal_Inf_Oper_R,0.2146801786165649,0.001550356120109361,0.001408563576513351,0.0018339412073013804
Frontal_Inf_Tri_L,0.18502743561705962,0.0020241246188630914,0.0018764533192479008,0.0023194672180934716
Frontal_Inf_Tri_R,0.23118742146735785,0.0017208812111793555,0.0015627437268882923,0.002037156179761482
Frontal_Inf_Orb_L,0.2308972157960192,0.0014285900717535345,0.0012825951945046783,0.001720579826251247
Frontal_Inf_Orb_R,0.2391122951947812,0.0015233378939480636,0.0013598317414414798,0.0018503501989612313
Rolandic_Oper_L,0.20739582034506693,0.001559388723267525,0.001425430834159421,0.0018273045014837327
Rolandic_Oper_R,0.2079962081807615,0.0015553556841200237,0.0014209947672758057,0.0018240775178084599
Supp_Motor_Area_L,0.30341525115592877,0.0012674955752619962,0.0011296248203357723,0.0015432370851144442
Supp_Motor_Area_R,0.27637688271849736,0.0014369353883915978,0.0012972464333155093,0.001716313298543775
Olfactory_L,0.22995739684538782,0.0018888031060437494,0.0017135322082528458,0.0022393449016255553
Olfactory_R,0.2131834623418953,0.0022020240262522507,0.0020114151913711536,0.002583241696014445
Frontal_Sup_Medial_L,0.22176645681228868,0.001485910453337214,0.0013512190347688365,0.0017552932904739687
Frontal_Sup_Medial_R,0.18498440064161,0.0017229724404643953,0.0015911773121465478,0.0019865626971000893
Frontal_Med_Orb_L,0.3301739423898844,0.0013681519331622527,0.0011866988939960028,0.0017310580114947526
Frontal_Med_Orb_R,0.32025469022113034,0.0013812106184920086,0.001200553536927797,0.001742524781620432
Rectus_L,0.3066010532749516,0.0016630783478596854,0.0014812870074063856,0.0020266610287662853
Rectus_R,0.27772648265097577,0.0018279775515192892,0.0016452126972551784,0.0021935072600475112
Insula_L,0.23042693844163206,0.0018264477704136904,0.0016699001980525715,0.002139542915135929
Insula_R,0.21516729527893397,0.00202832934372498,0.0018557536416774082,0.002373480747820123
Cingulum_Ant_L,0.2813179070698866,0.0014995106930938413,0.0013079695753644637,0.0018825929285525963
Cingulum_Ant_R,0.24346316392856895,0.001716080061172919,0.001535699497607698,0.0020768411883033606
Cingulum_Mid_L,0.24141525501890054,0.0011106934957256784,0.0009907475582684661,0.0013505853706401035
Cingulum_Mid_R,0.17965245461396448,0.001407352462745703,0.001304163443070203,0.0016137305020967033
Cingulum_Post_L,0.15923844780565152,0.0012821719923143415,0.0011885027408218593,0.0014695104952993064
Cingulum_Post_R,0.15188264336035,0.0011959655550121,0.0011087245515604652,0.00137044756191537
Hippocampus_L,0.23922120369556607,0.001665173781081015,0.00150273937322168,0.0019900425967996852
Hippocampus_R,0.2463655060177853,0.001702469502166751,0.0015297320137545537,0.002047944478991146
ParaHippocampal_L,0.252458157471384,0.0015628712290329406,0.0013957881332039626,0.0018970374206908967
ParaHippocampal_R,0.22006076408991596,0.0016180820537184412,0.001468719097774783,0.0019168079656057579
Amygdala_L,0.1851497681192063,0.0012162607682948043,0.0011129330110682932,0.0014229162827478267
Amygdala_R,0.18823788051858825,0.0012632636574142922,0.001154692704661571,0.0014804055629197342
Calcarine_L,0.37542071996337356,0.0013014124148721744,0.0010705107665764805,0.0017632157114635615
Calcarine_R,0.3182935056566658,0.0013233596056115963,0.001133112392949509,0.0017038540309357705
Cuneus_L,0.483652621420773,0.0009312319747818763,0.0007167615260332154,0.001360172872279198
Cuneus_R,0.46432000011788654,0.0010298973717989958,0.0008183880793027933,0.0014529159567914004
Lingual_L,0.266873625876425,0.0013108706006861191,0.0011377729425270182,0.001657065917004321
Lingual_R,0.25813077066111206,0.0012935356011955317,0.001125394859040624,0.0016298170855053476
Occipital_Sup_L,0.5897535558282756,0.0007567037637254792,0.00048805707977257463,0.0012939971316312882
Occipital_Sup_R,0.5437054174443946,0.0008212658694556726,0.0005827137522710339,0.00129837010382495
Occipital_Mid_L,0.5850428575388802,0.0008312972863187672,0.0005318400472688136,0.0014302117644186742
Occipital_Mid_R,0.5522513934129362,0.000798742083614006,0.0005498004606251141,0.00129662532959179
Occipital_Inf_L,0.46963504084848834,0.0011599376205802458,0.0008560356302549105,0.0017677416012309166
Occipital_Inf_R,0.4683058482567136,0.0010695760272445409,0.0007812780393307545,0.0016461720030721135
Fusiform_L,0.2271371548672939,0.0012673966092577376,0.001131995976222271,0.0015381978753286711
Fusiform_R,0.20501746951184535,0.0012805314956627347,0.0011584706061453717,0.0015246532746974598
Postcentral_L,0.2995268926932567,0.0013890240065326923,0.0012222466083267763,0.0017225788029445247
Postcentral_R,0.29693440667636084,0.0013997514690015683,0.0012380344179512479,0.0017231855711022088
Parietal_Sup_L,0.31771837168163,0.0014344234400257326,0.0012495821731061598,0.001804105973864878
Parietal_Sup_R,0.24177901213961803,0.0014238990388915098,0.0012699777665010833,0.0017317415836723624
Parietal_Inf_L,0.3884710782471493,0.0012331668443630191,0.0010403506406596588,0.0016187992517697396
Parietal_Inf_R,0.4513416221049867,0.0009639260195940194,0.000765231991979892,0.0013613140748222736
SupraMarginal_L,0.3294100762430203,0.001387082418068936,0.0011901845525116206,0.0017808781491835666
SupraMarginal_R,0.3374173356607845,0.0013236320318929288,0.0011383279137779445,0.0016942402681228977
Angular_L,0.4263298084582841,0.0010943539480121453,0.0008868222574591409,0.0015094173291181543
Angular_R,0.42941831010420123,0.0010923527466384722,0.0008886870099375135,0.0014996842200403896
Precuneus_L,0.21450537733694042,0.0015088503195374618,0.0013641384789423573,0.0017982740007276715
Precuneus_R,0.223893826833796,0.0014797704298778966,0.0013232285777968643,0.001792854134039961
Paracentral_Lobule_L,0.23756358885089315,0.0015590767040704009,0.0014204675462130489,0.0018362950197851054
Paracentral_Lobule_R,0.18938316018333204,0.0015565413574392406,0.0014255661368380173,0.0018184917986416877
Caudate_L,0.3059480221748148,0.0014472395197102786,0.0012651402975859813,0.001811437963958873
Caudate_R,0.25614846626762805,0.0017552595686519759,0.0015867346112019064,0.0020923094835521147
