ROI,FA_mean,MD_mean,RD_mean,AD_mean
Precentral_L,0.2902709070159629,0.0012407721836563488,0.0010911390826741398,0.0015400383856207674
Precentral_R,0.2912955355374963,0.0012644304963309947,0.0011258477422544085,0.0015415960044841668
Frontal_Sup_L,0.25020259413388746,0.0013810553896093651,0.0012464387909407464,0.0016502885869466026
Frontal_Sup_R,0.2590277913493906,0.0013856309964197875,0.0012452492578410624,0.0016663944735772372
Frontal_Sup_Orb_L,0.4051419152254344,0.0012381531083595979,0.0010062349650463074,0.0017019893949861789
Frontal_Sup_Orb_R,0.3977868846423149,0.00108630680348357,0.0009133587058504341,0.001432202998749842
Frontal_Mid_L,0.24556173746300683,0.001340558945833396,0.0012154771529739403,0.0015907225315523062
Frontal_Mid_R,0.21065562633931564,0.001408825802859956,0.0012975808513677784,0.001631315705844312
Frontal_Mid_Orb_L,0.29240414297627887,0.0016384219431918158,0.0014367196966407595,0.002041826436293928
Frontal_Mid_Orb_R,0.3797776465804429,0.0013504455649777894,0.0011201482741613287,0.001811040146610712
Frontal_Inf_Oper_L,0.27464213878007143,0.00127825147403846,0.0011441380989701694,0.0015464782241750412
Frontal_Inf_Oper_R,0.17679235104983626,0.0016723820970837794,0.0015587478874880543,0.0018996505162752304
Frontal_Inf_Tri_L,0.2514299988927658,0.001445139790154167,0.0013059007682869864,0.0017236178338885272
Frontal_Inf_Tri_R,0.2600129016106258,0.0012123777689198416,0.0010869568904404493,0.0014632195258786262
Frontal_Inf_Orb_L,0.222826682451537,0.0015965763615906027,0.0014506628501583156,0.001888403384455178
Frontal_Inf_Orb_R,0.25150951141234273,0.001532072500745117,0.0013879872757542552,0.001820242950726841
Rolandic_Oper_L,0.23671662580631708,0.0014405131333917053,0.0013133959646021822,0.0016947474709707513
Rolandic_Oper_R,0.2588396832564727,0.0011716207835009364,0.0010479974773817818,0.0014188673957392457
Supp_Motor_Area_L,0.3000089139427292,0.0012073432619668601,0.0010575841655766074,0.001506861454747365
Supp_Motor_Area_R,0.22421096142212837,0.0013317233639436737,0.0012149769281375644,0.0015652162355558928
Olfactory_L,0.20173735461797448,0.0013173794858447772,0.0012056580603942934,0.0015408223367457455
Olfactory_R,0.14448272409474364,0.0018833363140818718,0.0017685793722890975,0.0021128501976674196
Frontal_Sup_Medial_L,0.2603424683173918,0.0012661600939763728,0.0011268311401750409,0.001544818001579037
Frontal_Sup_Medial_R,0.2059138350893065,0.0016403103851945656,0.0015162247544168795,0.0018884816467499383
Frontal_Med_Orb_L,0.40479519349527243,0.000941391310099371,0.000796182664067345,0.001231808602163423
Frontal_Med_Orb_R,0.2463193584385695,0.0013835704480972865,0.0012569529256108026,0.0016368054930702538
Rectus_L,0.40118357164815416,0.000967429123916736,0.0008169946715819063,0.001268298028586396
Rectus_R,0.37962540293205627,0.001104326199512156,0.0009739438734157097,0.001365090851705049
Insula_L,0.18956362854330988,0.0018360768726419347,0.0017118363830572862,0.0020845578518112326
Insula_R,0.1687339401374976,0.0020937572749487785,0.001959375953097389,0.0023625199186515567
Cingulum_Ant_L,0.28962959594223836,0.0011262842488866042,0.0009749117639977323,0.0014290292186643478
Cingulum_Ant_R,0.18470243261320185,0.0014635909261272746,0.0013421805461661458,0.001706411686049532
Cingulum_Mid_L,0.3366459236943272,0.0008610985319086014,0.0007064408216681738,0.0011704139523894565
Cingulum_Mid_R,0.20616928413448457,0.0010702021390566394,0.0009684148259409035,0.0012737767652881108
Cingulum_Post_L,0.20867288510205373,0.0009665881855318276,0.0008751535410615391,0.0011494574744724045
Cingulum_Post_R,0.31353697494410976,0.0009084678084523305,0.0007592571689831886,0.0012068890873906141
Hippocampus_L,0.20960619240090356,0.0015764788756134117,0.0014339254815323086,0.0018615856637756174
Hippocampus_R,0.18126159841186323,0.002062028952522507,0.0019144610671146184,0.002357164723338285
ParaHippocampal_L,0.23504919763039772,0.0016700322201301562,0.0015041675318225043,0.0020017615967454602
ParaHippocampal_R,0.17558466236865344,0.0018192722100642683,0.001682880452092764,0.002092055726007276
Amygdala_L,0.14362116353024487,0.001483814585429962,0.001391949348604663,0.001667545059080561
Amygdala_R,0.14665958661500966,0.0016644411606678846,0.001564124861207256,0.0018650737595891417
Calcarine_L,0.32565552060510605,0.0010725488680501133,0.0009203170519821339,0.001377012500186072
Calcarine_R,0.31037887281712945,0.0011305452988843345,0.0009680822431016214,0.001455471410449761
Cuneus_L,0.3206614427538895,0.0012783865740984873,0.0010921773684880883,0.001650804985319285
Cuneus_R,0.2888110047187234,0.001215678151993101,0.001061575354640118,0.0015238837466990671
Lingual_L,0.2628148187314747,0.001090509936634579,0.0009674611266082478,0.0013366075566872417
Lingual_R,0.2537245473824566,0.0013901421111444418,0.0012563699790410865,0.0016576863753511519
Occipital_Sup_L,0.38064275137094444,0.0010930874676000491,0.0009010736485649532,0.0014771151056702408
Occipital_Sup_R,0.33581941278456934,0.0011501173004873344,0.000983746511718178,0.0014828588780256482
Occipital_Mid_L,0.4205885579997414,0.0010809873617386111,0.0008545384399492496,0.0015338852053173346
Occipital_Mid_R,0.3289798629959594,0.0011345615487200534,0.000960893391238229,0.0014818978636837023
Occipital_Inf_L,0.4169579031922329,0.00106199652131942,0.000848721238866873,0.0014885470862245145
Occipital_Inf_R,0.382199645363086,0.0010022553150005453,0.0008326047415335624,0.001341556461934511
Fusiform_L,0.2280530686115328,0.0012326700709172815,0.0011083847840152516,0.0014812406447213408
