ROI,FA_mean,MD_mean,RD_mean,AD_mean
Precentral_L,0.33040847271076185,0.0010977582174173113,0.0009609731653056092,0.0013713283216407158
Precentral_R,0.22017122376121892,0.0015053313915379105,0.001389664431304847,0.0017366653120040375
Frontal_Sup_L,0.22197851925078427,0.001344964904676852,0.0012395988569458994,0.001555697000138757
Frontal_Sup_R,0.2298429387283092,0.0013244166352293974,0.0012033533933531167,0.001566543118981959
Frontal_Sup_Orb_L,0.1869353226695369,0.0015234536379994793,0.0014048116125994253,0.0017607376887995877
Frontal_Sup_Orb_R,0.2867986276315363,0.001464746057255795,0.0013109854721939185,0.0017722672273795485
Frontal_Mid_L,0.2514496692734799,0.00125958763218174,0.0011426271641068921,0.0014935085683314355
Frontal_Mid_R,0.19933243567126502,0.0015640159023425648,0.001442213822213164,0.0018076200626013668
Frontal_Mid_Orb_L,0.24803159839126207,0.0011891027978169816,0.0010602569886158759,0.0014467944162191938
Frontal_Mid_Orb_R,0.19208690287988045,0.0019564181439099596,0.001806777643538652,0.002255699144652574
Frontal_Inf_Oper_L,0.24596976965557624,0.0012408071277633561,0.0011251335810895562,0.0014721542211109564
Frontal_Inf_Oper_R,0.19363461087548625,0.0016454904363537907,0.0015169172960380346,0.0019026367169853024
Frontal_Inf_Tri_L,0.20397033219897606,0.0013359708533814158,0.0012303263019769453,0.001547259956190357
Frontal_Inf_Tri_R,0.2177065432362539,0.0017478262526404846,0.0015945747100284573,0.0020543293378645386
Frontal_Inf_Orb_L,0.17212917139852982,0.001934511964408802,0.001801674491809586,0.0022001869096072353
Frontal_Inf_Orb_R,0.1911107516416868,0.0015473018386408508,0.0014298063832686749,0.001782292749385203
Rolandic_Oper_L,0.20675877648736032,0.0012394758649210073,0.0011311833680574179,0.0014560608586481863
Rolandic_Oper_R,0.18552618001226817,0.001421645274157652,0.0013145170697130386,0.0016359016830468783
Supp_Motor_Area_L,0.23417560953406677,0.0014090413652147378,0.0012938059132838735,0.0016395122690764665
Supp_Motor_Area_R,0.2555360370003796,0.0012959121051882416,0.0011731049409513664,0.0015415264336619916
Olfactory_L,0.18320292642275504,0.0023114583349132696,0.002120410200621876,0.0026935546034960573
Olfactory_R,0.19729597249652944,0.002549836304882771,0.002332557300116678,0.0029843943144149576
Frontal_Sup_Medial_L,0.16491407363220414,0.00144829572320038,0.0013553148626066405,0.0016342574443878601
Frontal_Sup_Medial_R,0.21470223112458528,0.0013382092285961888,0.0012171607682732353,0.0015803061492420964
Frontal_Med_Orb_L,0.16261323060980185,0.0013346212955491273,0.0012472858532925415,0.0015092921800622984
Frontal_Med_Orb_R,0.26776835719421804,0.001077920390056117,0.0009544571221467843,0.0013248469258747822
Rectus_L,0.16552577012888134,0.0017153740329908474,0.0016027849739107492,0.0019405521511510432
Rectus_R,0.22727664449523097,0.0017246549060496291,0.0015926915185556303,0.001988581681037627
Insula_L,0.22482399877182352,0.0016090035110494815,0.0014684092087318534,0.0018901921156847387
Insula_R,0.2447155712337609,0.001777364339948391,0.0016067797004292962,0.00211853361898658
Cingulum_Ant_L,0.26440665951262027,0.0017504812755960908,0.0015445704681589954,0.0021623028904702818
Cingulum_Ant_R,0.1536627858421837,0.002168732127334738,0.0020386336069969035,0.0024289291680104083
Cingulum_Mid_L,0.19103750089128496,0.0012045161753760994,0.001115941908697316,0.0013816647087336658
Cingulum_Mid_R,0.22223001508430193,0.0012355411222588794,0.001115475807942953,0.001475671750890732
Cingulum_Post_L,0.29132111967955876,0.0010161373682583455,0.0008756810159818564,0.0012970500728113237
Cingulum_Post_R,0.12646457285397203,0.001331237448971603,0.0012652717834288453,0.001463168780057118
Hippocampus_L,0.2951249329537436,0.001568962240542508,0.0013786270925402592,0.001949632536547005
Hippocampus_R,0.21058410840336625,0.0013037860087162295,0.0011901032879369814,0.0015311514502747258
ParaHippocampal_L,0.2525205392890428,0.0014379703020458916,0.001286266201205902,0.0017413785037258698
ParaHippocampal_R,0.26084526061711766,0.0013909137635379717,0.001234888274620766,0.0017029647413723831
Amygdala_L,0.2561674292974925,0.0015365974815415653,0.0013728008718434878,0.0018641907009377206
Amygdala_R,0.20506131455102813,0.0017485172894250512,0.001601018269034826,0.002043515330205501
Calcarine_L,0.4452778685960943,0.000967345855388906,0.0007737037768588503,0.0013546300124490178
Calcarine_R,0.38831457047036355,0.0010350372114694233,0.0008632721425927422,0.0013785673492227857
Cuneus_L,0.5444885464047735,0.0007588577465769094,0.0005615474009795496,0.0011534784377716294
Cuneus_R,0.5466320210231315,0.0006747962958166316,0.0004867250622214774,0.00105093876300694
