ROI,FA_mean,MD_mean,RD_mean,AD_mean
Precentral_L,0.2347401684102138,0.0013585369128492717,0.0012443578946195106,0.0015868949493087925
Precentral_R,0.43394364839523714,0.001033439220423761,0.0008697511523984607,0.001360815356474361
Frontal_Sup_L,0.1840351542289813,0.0017350526902284334,0.0016312548837107545,0.0019426483032637914
Frontal_Sup_R,0.2749179749536562,0.0012822031544630313,0.0011456072190240872,0.001555395025340919
Frontal_Sup_Orb_L,0.18781383752220876,0.0017533326679277364,0.0016181881489826502,0.0020236217058179086
Frontal_Sup_Orb_R,0.20791810669201938,0.001462246214644796,0.0013360041176319675,0.0017147304086704538
Frontal_Mid_L,0.2497014063748597,0.0012558246657757145,0.001139497901986575,0.0014884781933539944
Frontal_Mid_R,0.34567351212479014,0.0012562810752302135,0.001104970438387133,0.0015589023489163743
Frontal_Mid_Orb_L,0.252507749801527,0.001112433366982324,0.000987989812136543,0.001361320476673886
Frontal_Mid_Orb_R,0.2462447257571714,0.001472982318772483,0.001311111387737356,0.001796724180842737
Frontal_Inf_Oper_L,0.26752462667993593,0.0011150269842331707,0.0009913858561171054,0.0013623092404653012
Frontal_Inf_Oper_R,0.28968872103725585,0.001404563019430114,0.0012610934287366122,0.0016915022008171172
Frontal_Inf_Tri_L,0.245236298034361,0.001255554663825122,0.0011301209903519045,0.001506422010771557
Frontal_Inf_Tri_R,0.3310913646048125,0.0012801172089810687,0.0011139656797248673,0.0016124202674934723
Frontal_Inf_Orb_L,0.21016445080497537,0.0017184158118380448,0.0015796478009862443,0.0019959518335416447
Frontal_Inf_Orb_R,0.2440408701144226,0.0014619548609834715,0.0013125423072082156,0.0017607799685339833
Rolandic_Oper_L,0.23902217667402936,0.001128138204591973,0.0010145018273999549,0.001355410958976009
Rolandic_Oper_R,0.22127034220495376,0.0014058010024972068,0.0012842206997410268,0.001648961608009567
Supp_Motor_Area_L,0.2678148046162073,0.0014268654408052261,0.0012964406356607851,0.0016877150510941083
Supp_Motor_Area_R,0.23412251016902436,0.0015504147295300062,0.0014185098975171985,0.001814224393555622
Olfactory_L,0.3359154201916997,0.0015828470404323062,0.0013745700037137256,0.001999401113869467
Olfactory_R,0.34006126023221,0.0014525220068546012,0.0012430890546261063,0.0018713879113115915
Frontal_Sup_Medial_L,0.23682516110661936,0.0013048210159250322,0.0011818244202367778,0.0015508142073015411
Frontal_Sup_Medial_R,0.23466134164684727,0.0013224558710789522,0.0011978925468456114,0.0015715825195456335
Frontal_Med_Orb_L,0.2644492552735586,0.0010589650712073378,0.0009235114964213917,0.00132987222077923
Frontal_Med_Orb_R,0.2370166526301895,0.0011793998517916544,0.00105213057008152,0.0014339384152119233
Rectus_L,0.24395102506667302,0.0015010422800553944,0.0013554148151211942,0.0017922972099237947
