ROI,FA_mean,MD_mean,RD_mean,AD_mean
Precentral_L,0.28347745829104887,0.0011620731294496034,0.0010287440952526867,0.0014287311978434373
Precentral_R,0.26757917406355963,0.0012003277843018504,0.0010760666238770343,0.0014488501051514826
Frontal_Sup_L,0.31991835356716675,0.0012231565967881968,0.0010581052463453716,0.0015532592976738476
Frontal_Sup_R,0.3181920467885335,0.0013262018367212703,0.0011632253183343363,0.0016521548734951383
Frontal_Sup_Orb_L,0.41848993824108904,0.0009878951359774445,0.00082088781950238,0.0013219097689275738
Frontal_Sup_Orb_R,0.3261106935169168,0.001214482276099468,0.0010298016859223182,0.0015838434564537675
Frontal_Mid_L,0.2374592490221657,0.0015651825493358284,0.001417909899659385,0.0018597278486887146
Frontal_Mid_R,0.22542454381570654,0.0016300896274457806,0.0014835592515988316,0.0019231503791396782
Frontal_Mid_Orb_L,0.32996260536083755,0.0014183900616820673,0.0011750814515112016,0.0019050072820237993
Frontal_Mid_Orb_R,0.29475494406818964,0.001438176967396009,0.0012237198996787053,0.0018670911028306173
Frontal_Inf_Oper_L,0.23054163935766084,0.0012344905917595517,0.0011250791967421312,0.0014533133817943922
Frontal_Inf_Oper_R,0.2544134322488847,0.0012323073285128966,0.0011156830970637085,0.0014655557914112726
Frontal_Inf_Tri_L,0.2776127698530256,0.001214594420821378,0.0010831514609266227,0.0014774803406108882
Frontal_Inf_Tri_R,0.2552803711517797,0.0012179870201916901,0.0010914649510394127,0.0014710311584962455
Frontal_Inf_Orb_L,0.3808884487975302,0.001107098686696608,0.0009170773663208416,0.0014871413274481406
Frontal_Inf_Orb_R,0.37244306032388164,0.0010396221043798772,0.0008697955212701791,0.0013792752705992731
Rolandic_Oper_L,0.18673941136457084,0.0014376284614471908,0.0013372178832246596,0.001638449617892253
Rolandic_Oper_R,0.2594067361693336,0.001137698131048428,0.0010086816041134322,0.0013957311849184194
Supp_Motor_Area_L,0.24354353853852667,0.002033553461462329,0.0018522864823213342,0.0023960874197443173
Supp_Motor_Area_R,0.21406710481142358,0.001988360884955322,0.0018300284481148066,0.0023050257586363526
Olfactory_L,0.29816258791246747,0.001677107027016197,0.0015186119724387738,0.001994097136171043
Olfactory_R,0.3815098768695538,0.0013657658297292529,0.0012089196963904613,0.0016794580964068365
Frontal_Sup_Medial_L,0.24525844457521415,0.0015187232078747277,0.0013896442316164224,0.0017768811603913375
Frontal_Sup_Medial_R,0.2614710023670631,0.0014335964154203046,0.001296755291833325,0.0017072786625942646
Frontal_Med_Orb_L,0.22764296497852143,0.0013141862433955736,0.0011629653217284496,0.0016166280867298205
Frontal_Med_Orb_R,0.25163236731620386,0.001133791836655388,0.0010088239479771615,0.0013837276140118418
Rectus_L,0.46160161618795487,0.0007867999701792867,0.0006368490788586445,0.0010867017528205705
Rectus_R,0.4971819572580639,0.0008179471742970552,0.0006533545110785676,0.0011471325007340306
Insula_L,0.23931781393916013,0.0014457843441457669,0.0013144564810592234,0.0017084400703188533
Insula_R,0.30860853167759356,0.0012411811325335625,0.0011085955203624823,0.0015063523568757233
Cingulum_Ant_L,0.3294072023118187,0.0014198670134178588,0.0012795037246514436,0.0017005935909506884
Cingulum_Ant_R,0.30347120662323224,0.0015647556531045634,0.0014066537021878403,0.0018809595549380096
Cingulum_Mid_L,0.20873024961609216,0.0018019489087725844,0.0016590320683946705,0.002087782589528413
Cingulum_Mid_R,0.22931258680586455,0.0019568109368062136,0.0017931273757600178,0.002284178058898606
Cingulum_Post_L,0.15683068322480467,0.0014090458051561662,0.0013268436044339626,0.0015734502066005733
Cingulum_Post_R,0.12991568192486908,0.0015124559651674685,0.0014372990327715615,0.001662769829959283
