0.98672	0	0.16244
0.93325	0.32039	0.16244
0.77866	0.60605	0.16244
0.53968	0.82605	0.16244
0.24222	0.95652	0.16244
-0.081482	0.98335	0.16244
-0.39636	0.90361	0.16244
-0.66829	0.72595	0.16244
-0.86779	0.46963	0.16244
-0.97326	0.16241	0.16244
-0.97326	-0.16241	0.16244
-0.86779	-0.46963	0.16244
-0.66829	-0.72595	0.16244
-0.39636	-0.90361	0.16244
-0.081482	-0.98335	0.16244
0.24222	-0.95652	0.16244
0.53968	-0.82605	0.16244
0.77866	-0.60605	0.16244
0.93325	-0.32039	0.16244
0.88257	0	0.47019
0.82297	0.31882	0.47019
0.65222	0.59458	0.47019
0.39339	0.79004	0.47019
0.081433	0.8788	0.47019
-0.24153	0.84888	0.47019
-0.53187	0.7043	0.47019
-0.75037	0.46461	0.47019
-0.86754	0.16217	0.47019
-0.86754	-0.16217	0.47019
-0.75037	-0.46461	0.47019
-0.53187	-0.7043	0.47019
-0.24153	-0.84888	0.47019
0.081433	-0.8788	0.47019
0.39339	-0.79004	0.47019
0.65222	-0.59458	0.47019
0.82297	-0.31882	0.47019
0.68526	0	0.7283
0.60677	0.31846	0.7283
0.38927	0.56396	0.7283
0.082599	0.68026	0.7283
-0.243	0.64073	0.7283
-0.51292	0.45441	0.7283
-0.66535	0.16399	0.7283
-0.66535	-0.16399	0.7283
-0.51292	-0.45441	0.7283
-0.243	-0.64073	0.7283
0.082599	-0.68026	0.7283
0.38927	-0.56396	0.7283
0.60677	-0.31846	0.7283
0.41562	0	0.90954
0.29389	0.29389	0.90954
2.5449e-17	0.41562	0.90954
-0.29389	0.29389	0.90954
-0.41562	5.0899e-17	0.90954
-0.29389	-0.29389	0.90954
-7.6348e-17	-0.41562	0.90954
0.29389	-0.29389	0.90954
0.10211	0	0.99477
-0.10211	1.2505e-17	0.99477
